datetime,temperature_2m,relativehumidity_2m,precipitation,weathercode,windspeed_10m,weather_condition
2025-08-27 00:00:00+07:00,26.5,88,0.0,3,4.4,Overcast
2025-08-27 00:15:00+07:00,26.5,88,0.0,2,4.3,Partly cloudy
2025-08-27 00:30:00+07:00,26.5,89,0.0,2,4.0,Partly cloudy
2025-08-27 00:45:00+07:00,26.4,90,0.0,2,4.0,Partly cloudy
2025-08-27 01:00:00+07:00,26.3,90,0.0,2,3.6,Partly cloudy
2025-08-27 01:15:00+07:00,26.2,90,0.0,2,3.2,Partly cloudy
2025-08-27 01:30:00+07:00,26.2,91,0.0,2,3.3,Partly cloudy
2025-08-27 01:45:00+07:00,26.1,91,0.0,2,2.9,Partly cloudy
2025-08-27 02:00:00+07:00,26.1,91,0.0,2,2.9,Partly cloudy
2025-08-27 02:15:00+07:00,26.1,91,0.0,2,2.9,Partly cloudy
2025-08-27 02:30:00+07:00,26.0,91,0.0,2,2.6,Partly cloudy
2025-08-27 02:45:00+07:00,26.0,91,0.0,2,2.6,Partly cloudy
2025-08-27 03:00:00+07:00,26.0,91,0.0,2,2.6,Partly cloudy
2025-08-27 03:15:00+07:00,26.0,91,0.0,2,2.6,Partly cloudy
2025-08-27 03:30:00+07:00,26.0,92,0.0,2,2.5,Partly cloudy
2025-08-27 03:45:00+07:00,25.9,92,0.0,2,2.5,Partly cloudy
2025-08-27 04:00:00+07:00,25.9,92,0.0,2,2.5,Partly cloudy
2025-08-27 04:15:00+07:00,25.9,92,0.0,2,2.5,Partly cloudy
2025-08-27 04:30:00+07:00,25.8,92,0.0,2,2.5,Partly cloudy
2025-08-27 04:45:00+07:00,25.8,92,0.0,2,2.9,Partly cloudy
2025-08-27 05:00:00+07:00,25.7,92,0.0,2,2.9,Partly cloudy
2025-08-27 05:15:00+07:00,25.6,92,0.0,1,2.9,Mainly clear
2025-08-27 05:30:00+07:00,25.6,93,0.0,1,3.0,Mainly clear
2025-08-27 05:45:00+07:00,25.5,93,0.0,1,3.3,Mainly clear
2025-08-27 06:00:00+07:00,25.5,93,0.0,1,3.3,Mainly clear
2025-08-27 06:15:00+07:00,25.6,93,0.0,2,3.3,Partly cloudy
2025-08-27 06:30:00+07:00,25.8,92,0.0,2,3.7,Partly cloudy
2025-08-27 06:45:00+07:00,26.0,92,0.0,2,3.8,Partly cloudy
2025-08-27 07:00:00+07:00,26.1,91,0.0,2,4.1,Partly cloudy
2025-08-27 07:15:00+07:00,26.4,90,0.0,3,4.9,Overcast
2025-08-27 07:30:00+07:00,26.7,88,0.0,3,5.7,Overcast
2025-08-27 07:45:00+07:00,27.0,87,0.0,3,6.5,Overcast
2025-08-27 08:00:00+07:00,27.3,85,0.0,3,7.3,Overcast
2025-08-27 08:15:00+07:00,27.6,84,0.0,3,8.0,Overcast
2025-08-27 08:30:00+07:00,27.9,82,0.0,3,8.3,Overcast
2025-08-27 08:45:00+07:00,28.2,81,0.0,3,9.0,Overcast
2025-08-27 09:00:00+07:00,28.5,79,0.0,3,9.3,Overcast
2025-08-27 09:15:00+07:00,28.9,77,0.0,2,9.7,Partly cloudy
2025-08-27 09:30:00+07:00,29.1,75,0.0,2,10.0,Partly cloudy
2025-08-27 09:45:00+07:00,29.5,72,0.0,2,10.2,Partly cloudy
